Protein.Name	Gene.Name	Uniprot.ID	Pvalue.protein	FDR.protein
Exportin-T	Xpot	Q9CRT8	0.480297324	0.855251441
Vacuolar protein sorting-associated protein 33A	Vps33a	Q9D2N9	0.509842744	0.855251441
Coiled-coil domain-containing protein 56	Ccdc56	Q9D2R6;E9Q6W2	0.49232416	0.855251441
Calcium-binding protein 39-like	Cab39l	Q9DB16;F8WGY6;Q9DB16-2	0.469603269	0.855251441
Palmdelphin	Palmd	Q9JHU2	0.472581356	0.855251441
Prefoldin subunit 5	Pfdn5	Q9WU28;E9PZ62;E9PVG3;E9Q093;E9Q5Q8	0.487149151	0.855251441
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1	Plcb1	Q9Z1B3;Q9Z1B3-3;Q9Z1B3-2;Q6ZQ92	0.508669283	0.855251441
Ubiquitin-conjugating enzyme E2 N	Ube2n;Ube2nl	P61089;G5E8Z0;Q9CQ37	0.580331035	0.855484701
Mitochondrial import inner membrane translocase subunit TIM50	Timm50	Q9D880	0.580364756	0.855484701
SH2B adapter protein 1	Sh2b1	Q91ZM2;Q91ZM2-4;Q91ZM2-3;Q91ZM2-2;Q91ZM2-6;Q91ZM2-5	0.580690009	0.855511008
Nardilysin	Nrd1	A2A9Q2;Q8BHG1;A6PWC3;Q3V3G9	0.581178497	0.855686449
Ras GTPase-activating protein-binding protein 2	G3bp2	P97379;P97379-2	0.581555877	0.855686449
Cytoplasmic dynein 1 intermediate chain 2	Dync1i2	A2BFF9;A2BFF5;Q3TPJ8;O88487;A2BFF8;E9PWC9	0.582049894	0.855702512
Gamma-glutamyl hydrolase	Ggh	Q9Z0L8;F8WHZ6;Q9Z0L8-2	0.438285458	0.856079464
Polycomb protein Suz12	Suz12	Q80U70;E9PW15	0.39558521	0.856117246
Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed	Actb;Actg1	CON__P60712;P60710;P63260;F8WI82;E9Q607;E9Q1F2;E9Q5F4;G3UZ07;B1ATY1;E9Q606;G3UYG0;E9QAZ1	0.582672828	0.85616604
Transmembrane protein 33	Tmem33	Q9CR67;Q9CZM3;E0CXY5	0.440759787	0.857043299
Zinc finger CCCH domain-containing protein 4	Zc3h4	Q6ZPZ3;E9Q8K8;Q6ZPZ3-2	0.527490014	0.857171273
	Sec24a	A2AA71;F7C3S0;A2AA72;E9QAK4	0.591502461	0.857947278
FACT complex subunit SSRP1	Ssrp1	F8WGL8;Q08943-2;Q08943;A2AW05	0.587249949	0.857947278
Echinoderm microtubule-associated protein-like 2	Eml2	E9QK48;Q7TNG5-2;Q7TNG5;D3YWS2;D6RGM3	0.59301478	0.857947278
Ceruloplasmin	Cp	E9PZD8;G3X8Q5;Q61147;G3X9T8;G3UXG1;CON__ENSEMBL:ENSBTAP00000031900;G3UWP5	0.589601965	0.857947278
	Gm4788	E9Q8B5;E9Q8B6;E9PUM5	0.58898628	0.857947278
Serpin B6	Serpinb6a;Serpinb6	F8WIV2;Q60854;E9Q096;E9Q0P9;E9Q108;E9Q6X2;E9Q3Y1;E9PYY0;E9Q4R2;E9PZQ9	0.587226117	0.857947278
	Tpm1	G5E8R2;G5E8R1;E9Q456;E9Q453;E9Q455;G5E8R0;E9Q448;B7ZNL3	0.585797762	0.857947278
Glutamate--cysteine ligase regulatory subunit	Gclm	O09172;F6VNW5	0.587891075	0.857947278
2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial	Gcat	O88986;E9PWY6	0.58959178	0.857947278
60S ribosomal protein L27a	Rpl27a;Gm5908;Gm5453;Rpl27a-ps1	P14115;D3Z6J9;E9QP28;D3YZN6	0.58894033	0.857947278
Ras-related protein Rap-1A	Rap1a	P62835	0.592322417	0.857947278
Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12	Casp3	P70677	0.587065049	0.857947278
Cysteine and glycine-rich protein 1	Csrp1	P97315	0.590202276	0.857947278
Protein PRRC1	Prrc1	Q3UPH1	0.593280437	0.857947278
Nodal modulator 1	Nomo1	Q6GQT9	0.590562296	0.857947278
Lysosomal Pro-X carboxypeptidase	Prcp	Q7TMR0;Q7TMR0-2	0.587076387	0.857947278
Phosphoglucomutase-2	Pgm2	Q7TSV4	0.585111735	0.857947278
U3 small nucleolar ribonucleoprotein protein MPP10	Mphosph10	Q810V0;E9Q4C9	0.587779671	0.857947278
Nitrilase homolog 1	Nit1	Q8VDK1;Q8VDK1-2;D3YY53;D3Z3I3;D3Z2Y2	0.590855505	0.857947278
	Ces2c;Ces2d-ps	Q91WG0;D3YWM6	0.592084999	0.857947278
U4/U6 small nuclear ribonucleoprotein Prp3	Prpf3	Q922U1;E0CYD0	0.587264256	0.857947278
Dehydrogenase/reductase SDR family member 1	Dhrs1	Q99L04	0.593324199	0.857947278
	Gstt3	Q99L20;G3UX05;G3UYL6;G3UX71	0.585322177	0.857947278
Heterogeneous nuclear ribonucleoprotein A0	Hnrnpa0	Q9CX86	0.591072349	0.857947278
Superkiller viralicidic activity 2-like 2	Skiv2l2	Q9CZU3	0.587303034	0.857947278
Prolyl-tRNA synthetase associated domain-containing protein 1	Prorsd1	Q9D820;Q9D820-2	0.593441793	0.857947278
Phosphoinositide 3-kinase adapter protein 1	Pik3ap1	Q9EQ32;Q9EQ32-2;Q9EQ32-3	0.589352499	0.857947278
H/ACA ribonucleoprotein complex subunit 4	Dkc1	Q9ESX5;B7ZCL7;F6YUI5;A2AN81;F6S1S5	0.586122608	0.857947278
Geranylgeranyl transferase type-2 subunit alpha	Rabggta	Q9JHK4;Q9JHK4-2	0.590538219	0.857947278
60S ribosomal protein L38	Rpl38	Q9JJI8	0.591581038	0.857947278
Band 4.1-like protein 1	Epb4.1l1;Epb41l1	A2AUK5;Q9Z2H5;A2AUK8;Q9Z2H5-2;Q9Z2H5-3;A2AUK7;A2AUK6;E9QMK1	0.563213106	0.858511702
UPF0366 protein C11orf67 homolog	1810020D17Rik	D3YZD8;D3Z442;Q8R0P4;D3YWY5;D3Z1Q3;Q8R0P4-2;Q8CF11;D3YX09	0.540044268	0.858511702
cGMP-inhibited 3,5-cyclic phosphodiesterase B	Pde3b	Q61409;E9QLQ3	0.551834066	0.858511702
Protein cordon-bleu	Cobl	Q5NBX1;G3UWY3;Q5NBX1-3;G5E8P4;Q5NBX1-2;Q5NBX1-4;G3UZ73;Q5NBX1-5;E9Q0E6;F6RR81	0.578109375	0.858511702
Sulfate anion transporter 1	Slc26a1	G5E8U1;P58735;D3Z4W4	0.568689579	0.858511702
Vasodilator-stimulated phosphoprotein	Vasp	P70460	0.560712849	0.858511702
Phosphopantothenoylcysteine decarboxylase	Ppcdc	Q8BZB2	0.575358324	0.858511702
28S ribosomal protein S2, mitochondrial	Mrps2	Q924T2	0.562440346	0.858511702
Ran-binding protein 3	Ranbp3	Q9CT10	0.574903998	0.858511702
Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial	Qrsl1	Q9CZN8	0.562679302	0.858511702
RNA 3-terminal phosphate cyclase	Rtcd1	Q9D7H3;D3Z263;D6RD00;D6REI7	0.581971875	0.858511702
Syntaxin-12	Stx12	Q9ER00	0.558364774	0.858511702
Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	Plod1	Q9R0E2;F6WNR1;A8Y5E6;E9PXE3	0.580331886	0.858511702
Leucine-rich repeat-containing protein 57	Lrrc57	F6U0Y0;Q8JZX5;Q9D1G5;A2AKH7;B0R031	0.594802246	0.858704455
Secernin-3	Scrn3	Q3TMH2;A2AWQ9	0.594458532	0.858704455
Cysteine-rich protein 2	Crip2	Q9DCT8	0.594891193	0.858704455
	Slc35a3	E9Q3V2	0.444849742	0.85995433
Glycosylphosphatidylinositol anchor attachment 1 protein	Gpaa1	Q9WTK3;E9PW03	0.451888583	0.85995433
Tapasin	Tapbp	Q3TCU5;Q9R233;E9QKX9;Q9R233-2;G3UZZ2;G3UWL0	0.447922823	0.85995433
Cyclin-dependent kinase 4 inhibitor C	Cdkn2c	Q60772	0.452610497	0.85995433
Vesicle-associated membrane protein 3	Vamp3	P63024	0.446265927	0.85995433
COX assembly mitochondrial protein homolog	Cmc1	Q9CPZ8	0.452059336	0.85995433
Dolichyldiphosphatase 1	Dolpp1	Q9JMF7;A2AWJ3	0.445133126	0.85995433
Serine/threonine-protein kinase 24;Serine/threonine-protein kinase 24 35 kDa subunit;Serine/threonine-protein kinase 24 12 kDa subunit	Stk24	Q99KH8	0.596131695	0.860048993
COMM domain-containing protein 1	Commd1	Q8VI86;Q8K4M5;F7BZY0;F7BCN0;G8JL54	0.596674488	0.860338961
Coronin-1C	Coro1c	Q9WUM4;E9PVJ1;E9PZJ0	0.596950964	0.860338961
Transcriptional repressor NF-X1	Nfx1	B1AY10;B1AY10-3;B1AY10-2	0.460696211	0.86045704
tRNA 2-phosphotransferase 1	Trpt1	Q8K3A2	0.45585081	0.86045704
AF4/FMR2 family member 4	Aff4	Q9ESC8;B7ZNX0	0.458730853	0.86045704
GDNF family receptor alpha-1	Gfra1	P97785;P97785-2;E9Q0F7	0.461697341	0.86045704
Ankyrin repeat and FYVE domain-containing protein 1	Ankfy1	Q810B6;Q810B6-2	0.597615885	0.860851453
Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase	Dhdh	F6Z0K0;Q9DBB8	0.598036039	0.861011017
Acidic leucine-rich nuclear phosphoprotein 32 family member B	Anp32b	Q9EST5-2;E9QKP8;Q9EST5	0.598540814	0.861292185
Macrophage colony-stimulating factor 1 receptor	Csf1r	P09581;Q3TAZ7;Q3TBH6	0.222311664	0.861457698
Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform	Phka1	A2AI87;P18826;A2AI88;P18826-2;A2AI89;A2AI91	0.600867584	0.861592537
Microtubule-associated protein 4;Microtubule-associated protein	Map4;Mtap4	P27546;P27546-2;E9QPW8;P27546-3;E9PZ43;E9QKJ8;E9PWC0;P27546-4;Q78TF3;F6V4Z1;F6XPV7	0.600017112	0.861592537
Cytoplasmic aconitate hydratase	Aco1	Q8VDC3;P28271	0.600938216	0.861592537
Threonine synthase-like 2	Thnsl2	Q80W22;F7AFM3	0.599971978	0.861592537
Protein S100-A1	S100a1	Q91V77;P56565;D3YUT6	0.599760223	0.861592537
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6	Ndufa6	Q9CQZ5	0.600124981	0.861592537
Afadin	Mllt4	Q9QZQ1-2;E9Q9C3;Q9QZQ1;E9Q852;E9Q316;E9PYX7;F7C3I9	0.601016323	0.861592537
Actin-like protein 6A	Actl6a	Q9Z2N8;D3YVN1	0.601226269	0.861592537
Heterogeneous nuclear ribonucleoprotein M	Hnrnpm	Q9D0E1;Q9D0E1-2;B8JK32;B8JK33;E9Q0P7;F6W322;F7C9U3	0.601614228	0.861704785
Nucleoside diphosphate kinase;Nucleoside diphosphate kinase B	Gm20390;Nme2	E9PZF0;Q01768	0.604549483	0.861753992
Glutathione S-transferase Mu 2	Gstm2	P15626;D3YX76;F6Y363	0.604070613	0.861753992
Epoxide hydrolase 2	Ephx2	P34914;P34914-2	0.603100942	0.861753992
Corticosteroid 11-beta-dehydrogenase isozyme 1	Hsd11b1	P50172;Q3TJI8;F2Z3U6;E0CXE2;F6TSI8	0.60443229	0.861753992
Ubiquitin fusion degradation protein 1 homolog	Ufd1l	P70362;E9Q0Y6;E9Q646;E9Q475;F6SYJ2	0.604261172	0.861753992
Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase	Gart	Q64737;Q64737-2;D6RCG1	0.604661519	0.861753992
Probable aminopeptidase NPEPL1	Npepl1	Q6NSR8;F6T2H5	0.604227497	0.861753992
Gamma-taxilin	Txlng	Q8BHN1;Q8BHN1-3;Q8BHN1-2;E9Q249;A2AFJ4	0.602447693	0.861753992
Dihydropyrimidine dehydrogenase [NADP(+)]	Dpyd	Q8CHR6;F6Z9Z9	0.604511355	0.861753992
Exportin-7	Xpo7	Q9EPK7;E9PUW7;Q9EPK7-2	0.604745076	0.861753992
Isocitrate dehydrogenase [NADP], mitochondrial	Idh2	P54071;D6RIL6	0.605055602	0.861755241
Succinate dehydrogenase cytochrome b560 subunit, mitochondrial	Sdhc	Q9CZB0;F8WGB3	0.606304716	0.861770186
	Gnpda1	Q91WJ4;D3Z0R5	0.605801891	0.861770186
Interleukin enhancer-binding factor 2	Ilf2	Q9CXY6	0.605787257	0.861770186
CDKN2A-interacting protein	Cdkn2aip	Q8BI72	0.606960668	0.862262143
CBP80/20-dependent translation initiation factor	Ctif	Q6PEE2;Q6PEE2-2	0.469071123	0.862648587
Isobutyryl-CoA dehydrogenase, mitochondrial	Acad8	Q9D7B6;D3YTT4	0.607993071	0.863288121
Ras GTPase-activating-like protein IQGAP1	Iqgap1	F6ZJB0;G3UW45;Q9JKF1	0.609015453	0.86341824
Myosin light polypeptide 6	Myl6;Gm8894	Q60605;Q60605-2;E9QLM0;Q8CI43	0.608708674	0.86341824
Rab3 GTPase-activating protein catalytic subunit	Rab3gap1	Q80UJ7	0.608765895	0.86341824
Paxillin	Pxn	F8VQ28;Q8VI36;Q8VI36-2	0.610360543	0.863752823
Coagulation factor IX;Coagulation factor IXa light chain;Coagulation factor IXa heavy chain	F9	P16294	0.609934354	0.863752823
Arf-GAP domain and FG repeat-containing protein 1	Agfg1	Q8K2K6;Q8K2K6-1;Q8K2K6-3;Q8K2K6-2	0.610005572	0.863752823
Rho GDP-dissociation inhibitor 1	Arhgdia	Q99PT1	0.610492922	0.863752823
Hyaluronan-binding protein 2;Hyaluronan-binding protein 2 50 kDa heavy chain;Hyaluronan-binding protein 2 50 kDa heavy chain alternate form;Hyaluronan-binding protein 2 27 kDa light chain;Hyaluronan-binding protein 2 27 kDa light chain alternate form	Habp2	Q8K0D2;E9QM92;E9Q092;Q8K0D2-2;Q3V1J8;F7B276	0.597052809	0.864409449
	Pfdn4	Q3UWL8;E9Q6U4	0.616169352	0.864409449
Transmembrane protein 11, mitochondrial	Tmem11	Q8BK08;E9Q933	0.625526386	0.864409449
FYVE, RhoGEF and PH domain-containing protein 4	Fgd4	Q91ZT5;F8WGX0;Q91ZT5-2;E9Q4V3;Q91ZT5-3;Q91ZT5-4;E0CZ69	0.61149956	0.864409449
BRISC complex subunit Abro1	Fam175b	Q3TCJ1;G3X9P0;D3Z4D8	0.617601398	0.864409449
Lactotransferrin	Ltf	P08071	0.627445057	0.864409449
Protein FAM98B	Fam98b	Q80VD1	0.60417858	0.864409449
BSD domain-containing protein 1	Bsdc1	Q80Y55;D6RDC8;D6RDT1	0.631683828	0.864409449
Malonyl-CoA-acyl carrier protein transacylase, mitochondrial	Mcat	Q8R3F5	0.628665596	0.864409449
Pleckstrin homology domain-containing family F member 2	Plekhf2	Q91WB4;A8Y5N8	0.600327009	0.864409449
28S ribosomal protein S24, mitochondrial	Mrps24	Q9CQV5	0.593622351	0.864409449
	Farp1	F8VPU2;E9Q805	0.61232991	0.865032558
Protein transport protein Sec16B	Sec16b	Q91XT4;F6Q2Y9	0.612329144	0.865032558
CUGBP Elav-like family member 1	Celf1	P28659-4;P28659;P28659-3;P28659-2	0.613495637	0.865150483
Calmodulin	Calm1	Q3UKW2;P62204;Q9D6P8;G3UX57;G3UZ90	0.613656864	0.865150483
	Ifi47	Q61635;Q5NCB2;A6PWD6	0.612753606	0.865150483
Complement component 1 Q subcomponent-binding protein, mitochondrial	C1qbp	Q8R5L1;O35658	0.613076252	0.865150483
Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	Dhx15	O35286	0.61397895	0.865166288
Pre-mRNA-splicing factor 38A	Prpf38a	Q4FK66	0.61445927	0.865404933
Transcription factor p65	Rela	Q04207;Q04207-2	0.476192683	0.865410395
E3 ubiquitin-protein ligase TRIM32	Trim32	Q8CH72;A2AGS1;A2AGS0	0.475721832	0.865410395
TAR DNA-binding protein 43	Tardbp	Q921F2;Q6VYI4;Q6VYI5;Q8BLD4;Q8R0B4;E9Q830;F8WIJ9	0.615061319	0.865814694
Squamous cell carcinoma antigen recognized by T-cells 3	Sart3	Q9JLI8;Q9JLI8-2	0.423450563	0.865932612
Cytoplasmic dynein 1 intermediate chain 1	Dync1i1	D3Z0M6;O88485;Q3TYJ3;O88485-2	0.479258834	0.866013923
40S ribosomal protein S24	Rps24	P62849;Q9D7P1;E9Q3V8;P62849-3;P62849-2	0.615655637	0.866065369
Probable D-lactate dehydrogenase, mitochondrial	Ldhd	Q7TNG8;E9Q5A1	0.615861791	0.866065369
Multiple inositol polyphosphate phosphatase 1	Minpp1	Q9Z2L6	0.521645294	0.866851739
Carbonic anhydrase-related protein	Ca8	P28651	0.617315019	0.867232558
Ras-related protein Rab-5C	Rab5c	Q8C266;P35278;A2A5F5;A2A5F6	0.618455683	0.867246333
Replication protein A 70 kDa DNA-binding subunit	Rpa1	Q5SWN2;Q8VEE4	0.618630121	0.867246333
Acyl carrier protein, mitochondrial;Acyl carrier protein	Ndufab1	Q9CR21;F8WJ64;F6ZFT1	0.618482456	0.867246333
Suppressor of G2 allele of SKP1 homolog	Sugt1	Q9CX34	0.618882938	0.867246333
5-hydroxyisourate hydrolase	Urah	Q9CRB3	0.619239218	0.86730888
Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	Sdhb	Q9CQA3	0.620532652	0.868683285
Eukaryotic translation initiation factor 4 gamma 3	Eif4g3	E9QNX3;Q80XI3-3;A2AMI2;Q80XI3;Q80XI3-4;Q80XI3-2;A2AMI7;A2AMI6	0.653486706	0.869338214
Probable Xaa-Pro aminopeptidase 3	Xpnpep3	B7ZMP1;B7ZMP1-2;E9Q1R1	0.644690037	0.869338214
Protein argonaute-1;Protein argonaute-4	Eif2c1;Eif2c4	E9Q5W9;Q8CJG1;E9QA67;Q8CJF8;Q8CJF8-2	0.656183171	0.869338214
Antigen-presenting glycoprotein CD1d1;Antigen-presenting glycoprotein CD1d2	Cd1d1;Cd1d2	P11609;P11610;E9QLX1;E9Q395;D3YV93	0.64577526	0.869338214
Transmembrane protein 19	Tmem19	Q91W52-2;Q91W52	0.655640532	0.869338214
Thioredoxin reductase 3	Txnrd3	Q99MD6;G3X8P6;D3Z0H7	0.438875761	0.869430562
Annexin A3	Anxa3	O35639	0.433661124	0.869430562
Dimethylaniline monooxygenase [N-oxide-forming] 4	Fmo4	Q8VHG0;D3YUF0	0.439492372	0.869430562
Xylulose kinase	Xylb	Q3TNA1;Q3TMS3	0.622036186	0.870350279
Death domain-containing protein CRADD	Cradd	O88843;Q3UMW0;Q3V2M2	0.484650277	0.870459863
Cytoplasmic phosphatidylinositol transfer protein 1	Pitpnc1	Q8K4R4;Q8K4R4-3;Q8K4R4-4	0.485543003	0.870492075
Chloride intracellular channel protein 1	Clic1	Q9Z1Q5	0.622748122	0.870908555
Mediator of RNA polymerase II transcription subunit 24	Med24	A6PW47;Q99K74;Q99K74-2;Q99K74-3	0.492331392	0.87097012
DENN domain-containing protein 5B	Dennd5b	A2RSQ0;B8JKU3	0.514168755	0.87097012
NGFI-A-binding protein 1	Nab1	Q61122;E9PZ64	0.489901142	0.87097012
Transcriptional repressor p66 alpha	Gatad2a	E9QMN5;Q8CHY6	0.501386385	0.87097012
7-dehydrocholesterol reductase	Dhcr7	O88455	0.489439772	0.87097012
Ras-related protein Ral-A;Ras-related protein Ral-B	Rala;Ralb	P63321;Q9JIW9	0.513570804	0.87097012
Symplekin	Sympk	F8WJD4;E9PVR1;Q80X82;E9Q661;F6UJ99	0.490629235	0.87097012
General transcription factor 3C polypeptide 1	Gtf3c1	Q8K284	0.488612528	0.87097012
Calcium uptake protein 1, mitochondrial	Micu1	Q8VCX5-2;Q8VCX5-3;Q8VCX5	0.513647235	0.87097012
Protein inscuteable homolog	Insc	Q3HNM7;G3UW77;Q3HNM7-2;D3Z267;E0CXR9;D3Z5D7	0.498829748	0.87097012
Gamma-tubulin complex component 2	Tubgcp2	G5E859;Q921G8;E9Q244	0.488279169	0.87097012
Insulin receptor substrate 1	Irs1	P35569;Q543V3	0.504302345	0.87097012
Pre-mRNA-splicing factor CWC25 homolog	Cwc25	Q9DBF7;F7BY36;Q9DBF7-2	0.491366465	0.87097012
60S ribosome subunit biogenesis protein NIP7 homolog	Nip7	Q9CXK8;E9Q109	0.623108491	0.870974852
Phosphorylase b kinase gamma catalytic chain, skeletal muscle isoform	Phkg1	P07934;D3Z472;D3Z1B5	0.624698113	0.871009443
Ribosyldihydronicotinamide dehydrogenase [quinone]	Nqo2	F6Y3F4;Q9JI75	0.624302904	0.871009443
Myb-binding protein 1A	Mybbp1a	Q7TPV4;Q3TLF6	0.6240271	0.871009443
Eukaryotic translation initiation factor 3 subunit I	Eif3i	Q9QZD9;A2AE03	0.624516891	0.871009443
Complement C1q subcomponent subunit C	C1qc	Q02105;Q6DI63	0.251871645	0.871339745
Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial	Mmab	Q9D273;Q9D273-2;D3Z1G7	0.625535972	0.871740916
A-kinase anchor protein 9	Akap9	Q70FJ1;Q70FJ1-2;Q70FJ1-3;E9QQ10;F6V1W5	0.626067033	0.871763876
28S ribosomal protein S7, mitochondrial	Mrps7	Q80X85	0.626178939	0.871763876
Ubiquitin-conjugating enzyme E2 E2;Ubiquitin-conjugating enzyme E2 E3;Ubiquitin-conjugating enzyme E2 E1	Ube2e2;Ube2e3;Ube2e1	Q91W82;D3YXD1;D3YW10;P52483;P52482;B2FDH0	0.517419548	0.872254123
	Nfu1	D3Z285	0.448841346	0.872941781
NADH-ubiquinone oxidoreductase chain 5	Mtnd5;mt-Nd5	P03921;Q9MD82	0.461509159	0.872941781
Complement factor D	Cfd	P03953;P03953-2	0.464554323	0.872941781
Nuclear fragile X mental retardation-interacting protein 2	Nufip2	Q5F2E7-2;Q5F2E7	0.460407914	0.872941781
Peptidyl-prolyl cis-trans isomerase-like 2	Ppil2	Q9D787;E9Q0H9;D3YZQ4	0.465249191	0.872941781
Dihydroxyacetone phosphate acyltransferase	Gnpat	P98192;Q05DV2	0.51827921	0.8730616
Cleavage stimulation factor subunit 2	Cstf2	E9PZ33;Q8BIQ5;A2AEK1;Q8BIQ5-2;F6ZKC7;A2AEK3;Q8C7E9;A2AEJ8	0.518122937	0.8730616
Activity-dependent neuroprotector homeobox protein	Adnp	A2BDX0;Q9Z103	0.414601334	0.873164105
Protein kish-A	Gm10495;Tmem167a;Tmem167	D3YW38;Q9CR64;Q9CR64-2;E0CY07	0.366438221	0.873164105
Lipoyl synthase, mitochondrial;Lipoyl synthase, mitochondrial A	Lias	Q99M04;D3Z6I3	0.411187972	0.873164105
	Gbp6;Gbp10	E9Q342;Q05DL4;Q000W5;Q2V6D6;F7CE50;E9Q7U9	0.40826061	0.873164105
Homeobox protein cut-like 1;Protein CASP	Cux1	P53564;P53564-3;E9QKN9;E9QKE9;P53564-2;P53564-4;E9QNW2;P70403;E9QAA4	0.369498893	0.873164105
H-2 class I histocompatibility antigen, D-B alpha chain	H2-D1	E9QQ06;P01899;E9PWT4;E9Q3M8;G3UXE9;E9Q0G4;A7VMS6;O19441;E9PX63;P01895;P01895-2;P01896;G3UXN9;G3UY84;E9PV42;G3UZP7;G3UX20	0.381444317	0.873164105
High mobility group protein HMG-I/HMG-Y	Hmga1	P17095;P17095-1	0.410393273	0.873164105
Steroid 17-alpha-hydroxylase/17,20 lyase	Cyp17a1	P27786	0.416511716	0.873164105
Macrophage scavenger receptor types I and II	Msr1	P30204;P30204-2;F6VKK0	0.386550678	0.873164105
Erythrocyte band 7 integral membrane protein	Stom	P54116;E9PW33;Q99L68	0.412562996	0.873164105
Calcium-binding protein p22	Chp;1500003O03Rik	P61022;B0R091;B0R092	0.408725601	0.873164105
Protein FAM172A	Fam172a	Q3TNH5;E9QMA2;Q3TNH5-2;Q3TNH5-3	0.382083142	0.873164105
	2810408M09Rik	Q5U452	0.393388544	0.873164105
DNA-directed RNA polymerase II subunit RPB2	Polr2b	Q8CFI7	0.388555893	0.873164105
Translation initiation factor eIF-2B subunit epsilon	Eif2b5	Q8CHW4;F6T9C3	0.417361459	0.873164105
Transportin-2	Tnpo2	Q99LG2;E9PV58	0.355117286	0.873164105
Insulin-like growth factor 2 mRNA-binding protein 3	Igf2bp3	Q9CPN8	0.385792064	0.873164105
Proteasome maturation protein	Pomp	Q9CQT5	0.372909202	0.873164105
39S ribosomal protein L30, mitochondrial	Mrpl30	Q9D7N6	0.369671938	0.873164105
p21-activated protein kinase-interacting protein 1	Pak1ip1	Q9DCE5	0.365100332	0.873164105
N-terminal kinase-like protein	Scyl1	Q9EQC5	0.363082405	0.873164105
Acyl-coenzyme A thioesterase 2, mitochondrial	Acot2	Q9QYR9	0.358406841	0.873164105
F-box only protein 6	Fbxo6	Q9QZN4;A2A7H1;A2A7G9	0.41429931	0.873164105
Cytosolic Fe-S cluster assembly factor NUBP2	Nubp2	Q9R061	0.38567807	0.873164105
Vinexin	Sorbs3	Q9R1Z8	0.398842767	0.873164105
NmrA-like family domain-containing protein 1	Nmral1	Q8K2T1;D3YU12;G5E8S7;Q8K2T1-2;Q8K2T1-3	0.628742563	0.874667153
BolA-like protein 2	Bola2	Q8BGS2;Q8BGS2-2	0.629081185	0.874667153
L-xylulose reductase	Dcxr	Q91X52;A2AC16	0.629207201	0.874667153
GPN-loop GTPase 1	Gpn1	Q8VCE2;D3Z3X7;D6RCY0	0.525096619	0.875554971
	Taf4a	E9QAP7;F6W8W7;E9Q2V4	0.525180281	0.875554971
Annexin A6;Annexin	Anxa6	P14824;F8WIT2	0.630329684	0.87579007
39S ribosomal protein L35, mitochondrial	Mrpl35	Q9CQL6	0.525863853	0.875866918
	Atad2b	E9Q166	0.542580455	0.875879877
Coatomer subunit delta	Arcn1	Q5XJY5	0.630898765	0.876143345
Aspartate aminotransferase, cytoplasmic	Got1	P05201;F7ALS6	0.631484546	0.876519447
Endoplasmic reticulum metallopeptidase 1	Ermp1	Q3UVK0;Q3UVK0-2;G8JL46;F6TQS9	0.526685711	0.876599185
Rho-associated protein kinase 2	Rock2	E9PYM9;F8VPK5;P70336-2;P70336;E9Q9W8	0.528334665	0.877382082
E3 ubiquitin-protein ligase BRE1B	Rnf40	Q3U319	0.533234822	0.877382082
Putative methyltransferase NSUN5	Nsun5	Q8K4F6	0.531614178	0.877382082
Charged multivesicular body protein 4b	Chmp4b	Q9D8B3	0.534772404	0.877382082
Deoxynucleotidyltransferase terminal-interacting protein 2	Dnttip2	Q8R2M2	0.531779817	0.877382082
Probable cation-transporting ATPase 13A1	Atp13a1	Q9EPE9	0.532442056	0.877382082
	Parp4	E9PYK3	0.530817801	0.877382082
Extracellular superoxide dismutase [Cu-Zn]	Sod3	O09164	0.633081745	0.877770747
Glutathione synthetase	Gss	P51855;A2AQN7;A2AQN9;Q3TF63	0.633058577	0.877770747
Eukaryotic translation initiation factor 5B	Eif5b	Q05D44	0.633332253	0.877770747
Small nuclear ribonucleoprotein Sm D1	Snrpd1	P62315	0.63401718	0.878282634
Polypeptide N-acetylgalactosaminyltransferase 2;Polypeptide N-acetylgalactosaminyltransferase 2 soluble form	Galnt2	Q6PB93;Q6PB93-2	0.53681196	0.878471802
Dehydrogenase/reductase SDR family member on chromosome X homolog	Dhrsx	Q8VBZ0	0.539254562	0.879674842
THO complex subunit 2	Thoc2;BC005561	B1AZI6;E9Q5E2	0.540167804	0.879882712
Hsp90 co-chaperone Cdc37	Cdc37	Q61081	0.636077888	0.879887102
Dystroglycan;Alpha-dystroglycan;Beta-dystroglycan	Dag1	Q62165	0.635907846	0.879887102
