Protein.Name	Gene.Name	Uniprot.ID	mRNA.ID	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45
Single-stranded DNA-binding protein, mitochondrial	Ssbp1	Q8R2K3;Q9CYR0;D3Z3Y3	1452617_at	0.252844653	0.154602284	0.382626281	-0.240497517	NA	0.38761919	0.143930598	0.222868589	0.166777951	0.126564747	0.259858205	-0.220577607	-0.095721922	-0.078883047	-0.193204014	-0.023184369
Leucine-rich repeat-containing protein 40	Lrrc40	Q9CRC8	1448720_at	0.268625571	-0.044464067	0.139903278	-0.058801354	0.229974436	0.082087108	-0.105409894	0.360971635	0.452313278	-0.190551652	NA	0.04590794	-0.212133508	0.757330429	0.292970033	0.198891021
Casein kinase II subunit alpha	Csnk2a2	O54833	1460646_at	-0.096261853	0.039265898	0.007811664	0.146243824	0.0983202	0.181623873	-0.090582476	0.146451398	-0.110764122	NA	-0.064882852	0.008972553	-0.038997979	0.012606364	0.189104518	-0.008200014
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	Ppp2r1a	Q76MZ3;G3UXQ1	1438383_x_at	-0.16812853	-0.105812151	-0.054640131	-0.151728955	-0.165815488	-0.171206827	-0.107152199	-0.176067406	-0.156267163	-0.157302466	-0.134089481	-0.10057404	-0.169925001	-0.177088602	-0.146133829	-0.076011739
Dolichol-phosphate mannosyltransferase	Dpm1	O70152;A2BDX2;F8WII3	1449438_at	NA	-0.094641454	0.689729689	NA	0.433233545	0.590701399	0.98435971	0.157994687	0.051967372	-0.153545952	0.210646336	NA	0.17682131	NA	0.010817385	NA
Cysteine and glycine-rich protein 2	Csrp2	P97314;Q6QMT3	1420731_a_at	0.703078655	-0.015497569	0.306287805	0.120153107	NA	-0.029982866	0.212082818	0.562772261	0.151362038	NA	0.388695399	NA	0.175419496	NA	NA	0.357714317
Elongator complex protein 2	Elp2	Q91WG4;Q91WG4-2	1438179_s_at	0.154618343	0.433642685	NA	-0.182819402	0.224115065	NA	-0.197991166	0.78103289	0.506455134	0.127116094	-0.005615567	NA	NA	NA	-0.044324169	0.075596021
Brain acid soluble protein 1	Basp1	Q91XV3	1428572_at	-1.196984664	NA	-1.296428039	-1.613343053	NA	-1.529521135	-1.335540423	-1.078336571	-1.501311749	-1.144372734	NA	-1.619084288	NA	-1.277865757	NA	-1.55198351
Probable ATP-dependent RNA helicase DDX20	Ddx20	Q9JJY4;E9Q381	1416751_a_at	-0.010206943	0.242942607	0.186705175	0.125887665	0.175892048	0.087687378	0.356420834	1.007115578	0.447229476	NA	NA	NA	0.223188528	-0.126576457	NA	NA
Partitioning defective 6 homolog beta	Pard6b	Q9JK83;Q9JK83-2	1423175_s_at	NA	0.105892363	NA	0.356716385	0.120686324	NA	-0.250476553	0.37420584	-0.249384659	0.485700965	0.155710771	0.317103144	-0.068051643	0.002151219	NA	NA
dCTP pyrophosphatase 1	Dctpp1	Q9QY93	1416439_at	0.51498543	0.166292184	0.229805245	0.52327615	0.470308964	0.500381136	0.371702328	0.434773293	NA	0.366187531	NA	0.554612296	NA	NA	NA	-0.12763328
Glutaryl-CoA dehydrogenase, mitochondrial	Gcdh	Q60759;D3Z4I2	1448717_at	0.050397836	0.04504438	0.115363009	0.13175575	0.180953167	0.108736368	0.171482149	0.045223005	0.112895902	0.180495304	0.09492642	0.134556225	0.149136583	0.078380868	0.175272873	0.182835204
Filamin-A	Flna	Q8BTM8;B7FAU9;B7FAV1;F6XC15;Q8BTM8-2;F6Z2C0	1426677_at	-0.235972083	-0.299947954	-0.408603179	-0.393086655	-0.218347209	-0.29007047	-0.311968051	-0.152378145	-0.326077085	-0.297367523	-0.462994607	-0.196732928	-0.514299035	-0.17951105	-0.425566724	-0.271664711
TBC1 domain family member 2B	Tbc1d2b	Q3U0J8	1428508_at	-0.498863564	-0.143132156	-0.228110634	-2.99004722	-0.135797512	-0.337768171	-0.281312491	-0.188274311	-0.178746506	-0.372840689	-0.292428393	-0.362441834	-0.258338011	-0.211136827	-0.228480098	-0.404794153
Tyrosine--tRNA ligase, mitochondrial	Yars2	Q8BYL4;E9PX65;E9QAW5;F7BWC1	1439442_x_at	0.407459244	0.296208248	0.193783195	0.259063807	0.633523906	-0.005902957	0.310861893	0.131929633	0.253687234	0.373719744	0.35655013	0.562090498	0.306359163	0.353487082	0.292033545	0.293641852
Protein archease	Zbtb8os	Q505B7;B2KGA7;Q505B7-2;A8Y5E9	1426266_s_at	-0.00028851	0.23971943	0.112677501	-0.132247798	0.076143435	0.441320926	-0.19093086	0.154200869	-0.200880954	0.086201035	-0.295017665	0.238136062	0.087886695	0.240009051	0.138139893	-0.029841557
YLP motif-containing protein 1	Ylpm1	D3YWX2;E9Q803;Q9R0I7;F6YTL8;E9QAW2	1457514_at	-0.019915368	-0.070938821	0.064902386	0.014237285	0.042516232	0.172018427	-0.05004888	0.280720164	-0.469365054	-0.133563526	0.184588523	-0.154842407	0.069300504	-0.089362553	0.005159637	-0.201382936
Ubiquitin-like modifier-activating enzyme 6	Uba6	Q8C7R4;D3Z061	1428944_at	-0.125254339	-0.085152681	-0.117163075	-0.145090477	-0.145351386	0.017899005	-0.054223347	-0.069702167	-0.117030053	-0.141694362	-0.269392279	-0.091936738	-0.118226814	-0.151469198	-0.179383654	-0.158983251
V-type proton ATPase 16 kDa proteolipid subunit	Atp6v0c	P63082;E9Q9C5;D3Z3B2	1435732_x_at	0.327275966	0.344007116	0.276642403	0.195946441	0.104263084	0.316438278	0.507336657	0.266437406	0.304647527	0.464006799	0.222599222	0.256545352	0.225919309	0.435963338	0.342323413	0.132830996
Inter-alpha-trypsin inhibitor heavy chain H3	Itih3	Q61704;E9PVS1;CON__Q0V8M9	1449123_at	0.389262147	0.427362522	0.346022821	-0.417704019	0.162153614	0.330719197	0.087350135	0.021526111	0.542500263	-0.358058618	0.114035243	0.056461193	0.014659878	2.576819869	0.236809415	0.171709637
	Trappc8	E9PWG2;E9PY51	1428969_at	1.309395176	0.022405008	0.378569332	0.198295003	0.314355819	0.202704738	0.178959253	0.002498024	0.163817315	0.637445951	0.106591189	0.469210088	0.114800512	0.320720343	-0.201884743	0.111757459
Fatty acid-binding protein, brain	Fabp7	E9Q0H6;P51880	1450779_at	-0.042083959	-0.299596349	-0.202762485	-0.60805222	-0.492314685	-0.405121035	-0.477470103	-0.503246954	-0.087870133	-0.608430781	-0.327457434	-0.150689643	-0.504569548	-0.286762889	-0.483673919	-0.649845352
Ubiquitin-conjugating enzyme E2 H	Ube2h;Gm2058	P62257;E9Q3U1;E9Q262;D3Z2I4	1418631_at	0.00500038	0.027895571	0.111056127	0.12337108	-0.184089827	0.179514657	-0.011352507	0.134160348	0.088484812	0.178208164	0.033200415	0.103875432	0.072255217	-0.161952159	0.072634465	-0.01564029
Ran-binding protein 9	Ranbp9	E9Q5D6;F8WGD6;P69566;P69566-2	1422736_at	0.461581031	-0.033229161	0.213570917	-0.057692867	0.182524089	0.440615873	0.027366158	0.277394085	0.293712588	0.14710625	0.175566133	0.217457237	-0.170437869	0.151137736	0.160266103	0.087058943
Unconventional myosin-Ie	Myo1e	E9Q634;F7DDA8	1420159_at	-0.324349789	0.161830787	0.268173773	-0.011209361	-0.017351842	-0.060739158	0.302404082	0.062730946	-0.087327052	-0.066399229	-0.161694235	0.253515238	0.195021298	0.013552656	0.340513795	0.032034625
Sorting nexin-9	Snx9	Q91VH2;E9QNH3	1423076_at	-0.115432826	-0.150169706	-0.149259365	-0.088955682	-0.011209361	-0.002018361	-0.117030053	-0.124460486	-0.03083043	-0.156784908	-0.08719125	0.091848079	-0.099093179	-0.128161401	0.010701106	0.071284798
Heterogeneous nuclear ribonucleoprotein L-like	Hnrpll	Q921F4;F6SB69;Q921F4-4;Q921F4-5	1425255_s_at	-0.006333934	0.023929699	0.197864699	-0.063226802	0.111601578	0.02646954	0.167296283	0.079417046	0.137028955	0.001876724	0.135348305	0.095697033	0	0.274040765	0.207061378	0.089773905
UDP-N-acetylhexosamine pyrophosphorylase-like protein 1	Uap1l1	F7AWB4;Q3TW96;Q3TW96-2	1436890_at	0.03762126	0.052640554	-0.3305584	-0.092072095	-0.190172345	-0.23155529	-0.109159939	0.135665259	-0.265076777	-0.032947164	-0.414027259	-0.053806444	-0.223793216	-0.298658316	-0.139338514	-0.3021728
4F2 cell-surface antigen heavy chain	Slc3a2	G3UWA6;P10852	1425364_a_at	-0.157819839	-0.239398042	-0.041242982	-0.271425676	-0.358058618	-0.034779158	-0.188527527	-0.099093179	-0.279768422	-0.206268125	-0.153545952	-0.08719125	-0.28534303	-0.165815488	-0.462889938	-0.599889045
Proteasome activator complex subunit 2	Psme2	P97372;G3X9V0;E0CZ90	1417189_at	0.052461008	0.022668782	0.00528995	-0.020911066	0.031813379	-0.045163352	-0.014498127	-0.028144768	-0.002450499	-0.088955682	-0.097071371	-0.019773069	-0.064882852	0.020120988	-0.025312343	0.059194282
Caspase-6;Caspase-6 subunit p18;Caspase-6 subunit p11	Casp6	O08738	1415995_at	-0.061292338	-0.329525485	0.019024187	-0.139993302	-0.118492626	-0.144699025	0.082270379	-0.10634832	-0.033511102	-0.2429378	-0.155360663	-0.221444053	-0.14912927	-0.01678155	-0.21126145	-0.129876461
Lysosome membrane protein 2	Scarb2	O35114	1454704_at	0.204266294	0.144392947	0.275664056	0.198576426	0.383360003	0.271896634	0.448705479	0.517234306	0.235976632	0.434500307	0.282754599	0.389829118	0.311291459	0.25349804	0.495674532	0.162686435
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	Ddost	O54734	1416493_at	0.223609607	0.201990972	0.302973516	0.097424701	0.032610024	0.293977878	0.135538469	0.063680549	0.107647835	0.197467609	0.08098797	0.083446923	-0.085016673	0.096838296	0.026322606	-0.265916914
ATPase Asna1	Asna1	O54984	1418292_at	0.21841367	-0.036186803	-0.054640131	-0.091665988	-0.064055064	-0.001153695	0.006709684	0.005376833	-0.100977648	-0.09396575	-0.130271955	0.046444202	-0.129348967	0.121188354	-0.195095577	0.143133793
Striatin	Strn	O55106;F8WH41;F6Z700	1455022_at	-0.004033901	-0.022616379	0.223879163	-0.167229454	0.067137554	-0.100035721	0.081110055	-0.174022842	0.006637214	-0.117030053	0.03495826	-0.16079114	-0.082702589	-0.376623787	0.255821678	0.415287588
Eukaryotic translation initiation factor 3 subunit D	Eif3d	O70194	1446997_at	0.186967922	0.223997109	0.281754561	0.134714606	0.117286529	0.227235976	0.201012194	0.134825483	0.039073186	0.270051399	0.12669075	0.253429249	0.119839543	0.389526705	0.112630705	-0.062121712
L-lactate dehydrogenase;L-lactate dehydrogenase A chain	Ldha	G5E8N5;P06151;D3YZQ9;D3Z736;Q6NXW3;P00342;D3YZE4;D3YVR7	1419737_a_at	-0.271784214	-0.180147861	-0.197362184	-0.398459827	-0.371280054	-0.273456211	-0.354903461	-0.340049473	-0.219214996	-0.369382725	-0.345396375	-0.347325492	-0.340391357	-0.24865627	-0.319849117	-0.353887836
6-phosphofructokinase, liver type	Pfkl	P12382;Q9WUA3-2	1453541_at	-0.017779413	-0.094371211	-0.185612862	-0.166458372	-0.059908989	-0.284869433	-0.158724796	-0.167871708	-0.124460486	0.00879836	-0.175556536	0.008406503	-0.10191896	-0.165558254	-0.084336446	-0.057970069
Uridine 5-monophosphate synthase;Orotate phosphoribosyltransferase;Orotidine 5-phosphate decarboxylase	Umps	P13439;D6RJ62	1434859_at	-0.466131129	-0.496717988	-0.595885528	-0.60530468	-0.597125899	-0.733093981	-0.487383443	-0.629566451	-0.647084213	-0.618520588	-0.787683201	-0.582074221	-0.602361857	-0.62349233	-0.710525442	-0.452806263
GDP-L-fucose synthase	Tsta3	P23591	1448495_at	-0.059355278	0.036156002	-0.272501021	-0.084880654	-0.001730196	-0.284395681	0.022009438	-0.012783185	-0.137241192	-0.020911066	-0.037874166	0.016205581	0.082132924	0.125934893	0.093278691	0.187887914
Polyadenylate-binding protein 1	Pabpc1	P29341;F6ZAX1;A2A5N3	1418883_a_at	0.067908584	0.027322049	0.190980756	-0.01948843	0.132751906	0.2352632	0.146531242	0.097826063	0.134873005	0.07460816	0.047234063	0.057857124	-0.016211033	0.053074548	0.120153107	0.071678952
Transgelin	Tagln	P37804	1423505_at	-0.282261867	-0.277984747	-0.737340646	-0.358508792	-0.389456678	-0.248048998	-0.442014566	-0.531568609	-0.631895859	-0.244765308	-1.050815103	-0.249991368	-0.614191559	-0.142740172	-0.535057595	-0.057415612
Hydroxymethylglutaryl-CoA lyase, mitochondrial	Hmgcl	P38060	1424639_a_at	-0.078883047	-0.180529813	-0.061154063	0.016015925	0.040496898	-0.070114503	-0.001297842	-0.138159145	-0.082157559	-0.081884967	-0.01948843	-0.079838881	-0.064193062	-0.133826527	0.016366079	0.025118316
Adenylosuccinate synthetase isozyme 2	Adss	P46664	1460726_at	0.012169823	0.144711894	0.059479903	0.033761511	-0.049770152	0.07880744	-0.071762669	0.121847535	0.034248955	0.103425885	-0.10634832	0.099478997	-0.006477564	-0.009060468	0.097903261	0.063092626
Phosphatidylcholine transfer protein	Pctp	P53808;Q5SV41	1420983_at	-0.472799672	-0.415109632	-0.415758667	-0.3652446	-0.519642543	-0.478505927	-0.488103633	-0.591487938	-0.428142391	-0.392097567	-0.455649427	-0.405665675	-0.468009774	-0.466026688	-0.454175893	-0.266996372
RuvB-like 1	Ruvbl1	P60122;D3YW60;Q05CB6	1416585_at	0.008043767	-0.128425389	-0.082293836	-0.121943734	-0.057138304	-0.090582476	-0.115965432	-0.197110515	-0.144829521	-0.23780843	-0.266636643	-0.082157559	-0.074916402	-0.105275783	-0.137110008	-0.127104965
40S ribosomal protein S14	Rps14;Gm5805	P62264;D3Z7I1;D3YVF4;D3Z1P6	1436586_x_at	0.146227858	0.244223644	0.239906826	0.125037827	0.154682581	0.360527022	0.129497183	0.346242887	0.598697208	0.079782934	0.341628544	0.198924141	0.106637789	0.091217829	0.137520836	0.11323917
Platelet-activating factor acetylhydrolase IB subunit alpha	Pafah1b1	P63005;P63005-2;Q5SW16	1417086_at	-0.016068369	0.014893086	0.027366158	-0.044324169	0.029205232	0.089420824	-0.046840254	0.027616134	0.02414974	-0.114633549	-0.041663532	0.197054089	0.01449957	-0.019203734	0.122318563	0.016526595
Translationally-controlled tumor protein	Tpt1	P63028;D3YU75	1416642_a_at	0.113598129	0.132657005	-0.029700234	-0.018491749	-0.006908369	0.090895125	0.011937056	0.072558607	-0.009203827	-0.086647913	-0.160533009	-0.063088712	-0.131984509	-0.124328135	-0.104202449	-0.105812151
14-3-3 protein eta	Ywhah	P68510;E9Q4V8	1416004_at	-0.228480098	-0.243669081	-0.389236386	-0.340733161	-0.517225293	-0.194087052	-0.381283373	-0.14574266	-0.384381423	-0.267116262	-0.371391584	-0.05046687	-0.319964694	-0.10701825	-0.167100969	-0.119156942
Estradiol 17 beta-dehydrogenase 5	Akr1c6	P70694;Q91WR5;Q3UXL1;D3YWM3;G3XA14;E0CYR9	1417085_at	0.226611253	0.217155337	0.198758552	0.139966863	0.240332814	0.229720657	0.252861844	0.185605441	0.211447917	0.13175575	0.062218722	0.097995903	0.181247585	0.177294322	0.197533783	0.050427716
Protein S100-A13	S100a13	P97352	1418704_at	-0.074505436	-0.042644337	-0.133037379	-0.078746447	0.004927997	-0.248291938	-0.06502077	-0.092748686	-0.023042393	-0.02474519	-0.268673925	-0.154194325	-0.01948843	0.019930816	0.01055577	-0.04949137
Nucleobindin-1	Nucb1	Q02819;D3Z7D7;D3Z1N1	1416903_at	0.227810284	0.194245296	0.219169197	0.188167313	0.157930302	0.186540983	0.142178208	0.207877631	0.160475705	0.067288704	0.227489319	0.082056565	0.078380868	0.071390906	0.122962549	-0.014640947
Heterogeneous nuclear ribonucleoproteins C1/C2	Hnrnpc	Q3U6P5;Q9Z204;Q9Z204-5	1460240_a_at	-0.044743821	0.01547627	-0.01834931	-0.09396575	-0.032100843	0.018030475	-0.12551886	-0.0824301	-0.157690514	-0.16079114	-0.147306699	-0.179765808	-0.160145725	-0.19761381	-0.262793937	-0.348459062
5-AMP-activated protein kinase catalytic subunit alpha-1	Prkaa1	Q5EG47	1437539_at	0.129449838	-0.196481149	-0.112499976	-0.215989154	-0.222186307	-0.383939251	-0.414568547	-0.400210007	-0.352193538	-0.465295389	-0.330443668	-0.379731849	-0.092748686	-0.340505301	-0.338338835	-0.534958027
Ankyrin repeat domain-containing protein 40	Ankrd40	Q5SUE8;Q5SUE8-3;Q5SUE8-2	1435322_at	0.743786404	0.628407684	0.553256777	0.44124257	0.430295047	0.775391653	-0.248048998	0.287465846	0.303721238	0.463986899	-0.176067406	0.384433037	-0.004465437	0.185753118	0.044984844	-0.222062625
Caseinolytic peptidase B protein homolog	Clpb	Q8CCN6;Q60649;D3YZF1;D3Z7V2	1454168_a_at	0.097795185	0.071072606	0.372934858	-0.046421211	0.268382277	0.081171102	0.08685974	0.119008926	0.06187232	0.398912063	0.195516836	0.199487286	-0.301821736	0.197616505	0.116426101	-0.024603367
Cytochrome P450 3A11	Cyp3a11	Q64459;Q64481	1416809_at	1.801430413	1.413883805	1.666851092	1.556011509	1.384207069	1.664379547	1.855431482	1.883528775	1.410121485	1.677933413	1.803946977	1.473650692	1.155630417	1.332934455	0.968887159	1.06340917
	Slc9a3r2	Q6NS54	1439368_a_at	-0.154064674	-0.140778656	-0.255682003	-0.22119655	-0.198494154	-0.122341408	-0.269990634	-0.149519521	-0.113433803	-0.317304068	-0.296310561	-0.313942357	-0.301704696	-0.265796925	-0.152378145	-0.349252032
UDP-glucose:glycoprotein glucosyltransferase 1	Uggt1	Q6P5E4;G3UYG7;G3UZU8;G3UZC1;G3UY35;G3UY73;G3UXP5	1455839_at	0.348537235	0.194624989	0.21054617	0.199205686	0.023299103	0.265396588	0.181492979	0.297537488	0.152500107	0.21171521	0.097085174	0.113863504	-0.033370138	0.173888836	0.132973368	-0.084744621
PEST proteolytic signal-containing nuclear protein	Pcnp	Q6P8I4;F8WI88;Q3TM89;D3YWA4	1428314_at	-0.31022377	-0.279174108	-0.367706537	-0.317072478	-0.244156396	-0.372060582	-0.321004474	-0.316377482	-0.250597823	-0.251809968	-0.397145797	-0.217851097	-0.242693958	-0.314754522	-0.099766486	-0.161952159
Adenine phosphoribosyltransferase	Aprt	Q6PK77;P08030	1423801_a_at	-0.158595552	0.003828216	-0.142740172	-0.063364879	-0.029558897	-0.085016673	-0.072723231	-0.047398789	-0.33616911	-0.038997979	-0.142870845	0.00614452	0.036511079	-0.096531743	0.010323262	0.106047628
Eukaryotic translation initiation factor 3 subunit C	Eif3c	Q8R1B4;E9Q3A8	1415858_at	0.038228521	0.245232193	0.074122077	0.12678526	0.139283464	0.167831007	-0.107821756	0.217792755	0.043036371	0.046399506	0.06259534	0.04175865	0.081476373	-0.068739591	0.020311185	-0.037311931
Aspartoacylase-2	Acy3	Q91XE4	1448539_a_at	-0.036608829	-0.050327554	0.18371979	0.131502868	0.134572062	0.087334808	0.035963704	0.049262855	0.121376661	-0.013355059	0.123842606	-0.006908369	0.053793171	-0.012497163	0.197649595	-0.06942721
Neural Wiskott-Aldrich syndrome protein	Wasl	Q91YD9;Q9CXQ9	1426776_at	-0.447526301	-0.309292623	-0.388024176	-0.33845294	-0.241474126	-0.310572795	-0.213005039	-0.440527032	-0.261350279	-0.373174891	-0.233274539	-0.296897858	-0.223793216	-0.355805639	-0.349818172	-0.230940776
Ceramide synthase 2	Cers2;Lass2	Q924Z4;D3Z0Z2;D3YTM0;D3Z4M2	1423955_a_at	0.618539417	0.469929258	0.712504064	0.462773522	0.116770211	0.684781589	0.61107208	0.373402	0.457950011	0.779174784	0.491084615	0.766897294	0.213654563	0.333588787	0.671737971	0.438385476
ATPase family AAA domain-containing protein 3	Atad3;Atad3a	Q925I1;F8WI53;Q925I1-2	1437343_x_at	0.171238452	0.075003223	0.372374486	0.006072079	0.272436725	0.197318728	0.175321745	0.292316195	0.240077206	0.410639182	0.441908733	0.039962841	-0.082838815	0.142130445	0.259806383	-0.04082231
ADP-ribosylation factor GTPase-activating protein 2	Arfgap2	Q99K28-2;Q99K28	1439460_a_at	-0.050188223	0.037665685	-0.052694111	0.015782536	-0.142609487	0.012140725	-0.082293836	-0.098689044	-0.159758338	-0.200002066	-0.156655489	-0.009203827	-0.020484422	-0.116897018	-0.12498977	-0.108223341
Plastin-3	Pls3	Q99K51	1423725_at	0.115050483	0.046101567	-0.045862298	-0.023894043	0.013072154	-0.10272531	-0.004321606	-0.028993412	-0.006477564	-0.012926174	0.003669107	-0.076832696	0.091909581	0.068468216	0.042828293	0.09589746
3-hydroxyisobutyrate dehydrogenase, mitochondrial	Hibadh	Q99L13;E9Q155	1435967_s_at	0.313405351	0.335571774	0.35247365	0.446010452	0.491632201	0.385864993	0.430761693	0.309949492	0.424339141	0.473670725	0.459377519	0.521431947	0.471068677	0.423874567	0.533827097	0.586752553
DnaJ homolog subfamily A member 3, mitochondrial	Dnaja3	Q99M87;Q99M87-2;Q99M87-3	1420629_a_at	0.17633215	0.184080333	0.13637866	0.142353351	0.105162839	0.201775252	0.159411889	0.04897925	0.176136533	0.144536464	0.155485792	0.100174723	0.187509989	0.020896564	0.093278691	0.110370709
28S ribosomal protein S16, mitochondrial	Mrps16	Q9CPX7	1448869_a_at	0.13411285	0.145844727	0.414268267	0.520521077	0.204947928	0.286990508	0.209728406	0.30693016	0.256045634	0.209411438	0.225986801	0.202273117	-0.000432744	0.114816134	0.174898238	0.092801662
Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11	Uqcrfs1	Q9CR68	1450968_at	0.416115114	0.226054297	0.458485161	0.226932023	0.481444719	0.359564163	0.354704142	0.396213447	0.40091077	0.481746881	0.629701781	0.354335228	0.100793427	0.258528699	0.404419958	0.193073828
28S ribosomal protein S22, mitochondrial	Mrps22	Q9CXW2	1416595_at	0.112006904	0.239276593	0.069860677	0.196591088	0.191557284	0.228165117	0.261517488	0.123009682	0.094002228	0.225834948	0.100020088	0.223053808	0.332589232	0.049934776	0.266073034	0.187329278
Cytosolic 5-nucleotidase 3	Nt5c3	Q9D020-1;Q9D020	1451050_at	-0.09423607	-0.253142153	0.025588164	-0.10701825	0.055936192	-0.071488106	-0.162596766	-0.047398789	-0.088141597	-0.089226942	-0.046979908	0.035712278	-0.388575307	0.029323013	-0.198116929	-0.40653667
Armadillo repeat-containing protein 1	Armc1	Q9D7A8	1451638_s_at	0.057076437	0.067727128	0.000909184	0.067061985	0.294951029	0.000346288	0.239957938	0.152019123	0.215546271	0.02895498	-0.127104965	0.194294815	-0.139731422	0.051728095	0.037221497	0.160491829
Bifunctional coenzyme A synthase;Phosphopantetheine adenylyltransferase;Dephospho-CoA kinase	Coasy	Q9DBL7	1423701_at	-0.048096653	0.007043089	-0.020199923	0.036836644	0.01921424	-0.012640181	0.058442917	-0.005040617	-0.009347172	0.012373526	-0.009060468	0.03602287	0.001111303	-0.046700587	0.025602849	-0.048375705
UMP-CMP kinase	Cmpk1	Q9DBP5;D6RIL5;F6TY56	1423073_at	-0.112900262	-0.119555385	-0.060185765	-0.134352387	-0.110095929	-0.084608575	-0.094506339	-0.124725152	-0.170566057	-0.094911647	-0.114766793	-0.110764122	-0.084472517	-0.129217064	-0.073271836	-0.135272179
28S ribosomal protein S15, mitochondrial	Mrps15	Q9DC71	1449294_at	0.247234285	0.093956034	0.113707395	0.099216255	0.239804607	0.118914924	0.211314289	0.055126565	0.012722798	0.043408014	0.329050922	0.129954928	0.141827985	0.139410584	0.124078426	0.050427716
SH3 domain-binding glutamic acid-rich-like protein	Sh3bgrl	Q9JJU8	1421871_at	-0.154971988	-0.16079114	-0.149519521	-0.21549223	-0.139338514	-0.199248307	-0.276198865	-0.355692898	-0.232783534	-0.261109529	-0.407624676	-0.324695414	-0.195599575	0.03452968	-0.15367565	-0.344146748
Actin-related protein 2/3 complex subunit 3	Arpc3	Q9JM76;D3Z2F8;D3Z2F7	1448279_at	-0.019773069	-0.008343459	-0.135797512	-0.174278571	-0.014640947	-0.126972856	-0.097341109	-0.104202449	-0.095586908	-0.101246657	-0.168256923	-0.087870133	-0.044883678	-0.059216817	-0.03083043	-0.069564695
Mitotic checkpoint protein BUB3	Bub3	Q9WVA3	1459104_at	-0.036327492	0.103441385	0.371795664	0.052850052	-0.071488106	0.111102872	0.191491383	0.115128608	0.286603311	0.011137203	-0.039699918	-0.124328135	-0.006764782	-0.138028045	0.254117311	-0.030124161
Proteasome subunit alpha type-5;Proteasome subunit alpha type	Psma5;Gm8394	Q9Z2U1;D3YX79	1424681_a_at	0.002917191	0.008841906	-0.045862298	-0.03885755	-0.049351959	-0.061845307	-0.023894043	-0.009490503	-0.088955682	-0.114633549	-0.147306699	-0.003170443	-0.0614306	0.00876933	-0.050745464	-0.020484422
Hsc70-interacting protein	St13	Q99L47;F8WJK8;E9Q1V0;E9Q1X9	1460193_at	-0.149649582	0.032034625	-0.142870845	-0.054640131	-0.124460486	-0.029417547	-0.014355293	-0.080794082	-0.107821756	-0.07231164	-0.099093179	-0.018064389	0.000302998	-0.028003278	-0.060185765	-0.01678155
Epididymal secretory protein E1	Npc2	Q9Z0J0	1416901_at	-0.561106141	-0.380951044	-0.417920008	-0.517124486	-0.425244442	-0.44763209	-0.46456372	-0.579662897	-0.497433534	-0.514501036	-0.53037044	-0.448795255	-0.389787054	-0.55345881	-0.456070161	-0.43956995
S-methyl-5-thioadenosine phosphorylase	Mtap	Q9CQ65	1424425_a_at	-0.076695902	-0.136847604	-0.127765328	-0.125783332	-0.098554307	-0.214746523	-0.159500022	-0.263635404	-0.24610401	0.009800257	-0.153156788	-0.046700587	-0.049770152	-0.147957881	-0.095451881	-0.057692867
Coiled-coil domain-containing protein 25	Ccdc25	Q78PG9	1451799_at	0.355110057	0.161943768	0.240707788	0.191919791	0.148912627	0.261949907	0.103549884	0.178453041	0.466655938	0.08431849	0.104154531	0.024355141	0.217239192	0.054032791	0.020033213	0.050831156
Probable E3 ubiquitin-protein ligase HERC4	Herc4	Q6PAV2;Q6PAV2-2;Q6PAV2-3	1427032_at	0.01463073	-0.040682059	0.12169056	0.218212263	0.352731547	0.144584307	0.256786657	0.101164777	0.201460027	0.566570458	0.267426879	0.471808783	0.330973234	0.275244968	0.424106835	0.311936047
Long-chain fatty acid transport protein 4	Slc27a4	Q91VE0	1424441_at	0.55230444	NA	NA	0.535373551	0.311058762	NA	NA	0.771864732	0.561217461	NA	NA	NA	NA	NA	NA	0.638119373
	Mcc	E9PWI3;G3UW40	1438081_at	-0.29007047	-0.083928155	-0.219091058	-0.441695937	NA	-0.752834209	-0.787098082	NA	-0.123666196	-0.278460609	-0.482435288	-0.249748715	-0.318808503	-0.08011186	NA	NA
Platelet-activating factor acetylhydrolase IB subunit beta	Pafah1b2	Q61206;F8WIW7	1422793_at	NA	0.198857903	NA	0.223794922	0.711369758	0.119369324	0.305485262	0.12007471	0.393728347	NA	0.486125261	0.315648026	NA	0.299542526	0.127005808	0.19236481
COMM domain-containing protein 4	Commd4	Q9CQ02	1417006_at	0.170832381	0.321819897	0.206495269	0.492423524	0.65113307	0.443143909	0.189334802	0.023035214	NA	NA	0.049158362	NA	0.255770001	NA	0.390207222	0.544329533
Zinc finger FYVE domain-containing protein 19	Zfyve19	Q9DAZ9;Q4KL52	1451380_at	-0.329410671	0.195103876	0.186409642	-0.082975027	NA	-0.100304906	-0.164528861	-0.115832299	-0.387803665	-0.273814245	NA	-0.205142241	0.115128608	-0.092748686	NA	NA
