Gene.names,Classes,Protein.IDs,Protein.names,Half.life.protein,nZT00,nZT03,nZT06,nZT09,nZT12,nZT15,nZT18,nZT21,nZT24,nZT27,nZT30,nZT33,nZT36,nZT39,nZT42,nZT45,nb.timepoints.proteins,rel.amp.protein,Phase.protein,Pvalue.protein,FDR.protein,mRNA.ID,ZT00,ZT02,ZT04,ZT06,ZT08,ZT10,ZT12,ZT14,ZT16,ZT18,ZT20,ZT22,ZT24,ZT26,ZT28,ZT30,ZT32,ZT34,ZT36,ZT38,ZT40,ZT42,ZT44,ZT46,rel.amp.mRNA,Phase.mRNA,Pvalue.mRNA,FDR.mRNA
Ppil2,1,Q9D787;E9Q0H9;D3YZQ4,Peptidyl-prolyl cis-trans isomerase-like 2,12.99,NA,0.150657206,0.014528715,-0.144829521,0.397125091,0.181754778,0.250611618,0.507685315,NA,-0.046979908,0.491044061,NA,0.064570427,-0.053528441,0.693854441,0.063439321,13,0.09266405,19.89880334,0.465249191,0.872941781,1452920_a_at,8.467892257,8.353939447,8.338818763,8.59520341,8.497442576,8.541442947,8.691044865,8.404390971,8.204344592,8.407200037,8.606310146,8.535151582,8.455254792,8.669133418,8.664647222,8.721338793,8.550876684,8.709332371,8.527638865,8.376136909,8.337564724,8.476819909,8.432225589,8.250827824,0.070787704,6.825209644,0.040893071,0.155980919
Gnpat,1,P98192;Q05DV2,Dihydroxyacetone phosphate acyltransferase,57.18,NA,0.309681248,NA,0.575400338,NA,1.101319535,NA,NA,NA,NA,0.261309974,NA,0.134160348,NA,0.575894864,0.284106629,7,0.187243135,15.16965513,0.51827921,0.8730616,1417456_at,8.719190296,8.581044149,8.65442557,8.583732995,8.681444107,8.609342573,8.556353282,8.580104263,8.599691433,8.619032235,8.792133014,8.636115696,8.873593462,8.742700402,8.811063315,8.810436725,8.776740715,8.600570556,8.831413676,8.936778155,8.55986803,8.630374565,8.505262356,8.53775691,0.026492635,5.363557015,0.530482538,0.719644257
Cstf2,1,E9PZ33;Q8BIQ5;A2AEK1;Q8BIQ5-2;F6ZKC7;A2AEK3;Q8C7E9;A2AEJ8,Cleavage stimulation factor subunit 2,28.58,-0.006764782,0.122475606,NA,-0.759241072,-0.119953718,NA,NA,NA,NA,NA,NA,NA,NA,-0.319155458,NA,NA,5,0.183782081,21.88111343,0.518122937,0.8730616,1419645_at,7.914377958,8.093695851,8.113591166,8.028145715,7.918411631,7.898251941,7.944203585,8.194486469,8.160710768,8.180916756,8.243657663,7.900198453,7.834438651,8.101460895,7.926544035,7.956273823,7.815918811,7.772178694,8.127102806,8.145067842,8.175098863,8.149606722,8.085913024,8.325076046,0.085873845,18.47330959,0.00938974,0.056966194
Adnp,2,A2BDX0;Q9Z103,Activity-dependent neuroprotector homeobox protein,21.57,NA,-0.651683181,0.605661473,-0.432424977,0.444340882,-0.105007525,-0.124592825,-0.033088169,-0.245982361,-0.306728867,0.095866623,-0.290778251,-0.223175386,0.20981183,1.449020556,-0.051859299,15,0.21464564,16.3193631,0.414601334,0.873164105,1423069_at,10.28592396,10.17501614,10.3187632,10.35077118,10.35629952,10.2576511,10.07565642,9.943242624,10.08979343,10.23780723,10.15192959,10.35794975,10.05203335,10.18938928,10.2563846,10.26481558,10.31637243,10.15841022,9.828646353,9.854988933,9.865361302,9.939238346,10.06532664,9.97090966,0.109078606,4.083367664,0.001220327,0.01336846
Gm10495;Tmem167a;Tmem167,2,D3YW38;Q9CR64;Q9CR64-2;E0CY07,Protein kish-A,42.19,0.178942921,0.230837621,0.337484571,0.284809483,-0.218223197,0.207577729,0.129118469,0.374299338,0.262157514,0.409067493,0.435963338,0.085343637,NA,0.033599066,0.087012971,-1.305562016,15,0.12631903,6.203042773,0.366438221,0.873164105,1450904_at,8.994138479,9.303559508,9.086073425,8.801733736,8.946563004,8.856008138,8.867400973,9.202705562,9.512668622,9.264132048,9.426075915,8.983925214,9.167783473,9.164880585,8.764528444,8.822073389,8.664681143,8.874710008,9.097828126,9.33177371,9.346825972,9.40304365,9.075629419,9.262653093,0.172888535,18.66880386,7.17E-05,0.00176298
Lias,1,Q99M04;D3Z6I3,"Lipoyl synthase, mitochondrial;Lipoyl synthase, mitochondrial A",21.16,0.036599862,0.361620274,0.323786762,-0.129085148,0.114066471,0.151506251,0.158670905,-0.353774945,0.347123485,0.145493613,0.377369461,0.149072592,0.309413054,0.04447888,NA,0.216736137,15,0.07163175,5.683964029,0.411187972,0.873164105,1418700_at,8.956546665,8.845258299,9.128812323,9.091534823,9.036044519,8.908436834,8.895202277,8.834435033,8.717825468,8.864282262,9.015792828,8.739471948,8.826196399,9.069910964,9.051066339,9.048925663,8.963098639,8.962415075,8.868052574,9.084931441,8.896754602,8.95735713,9.055947383,8.85841936,0.050877218,5.574558181,0.072375646,0.226854821
Gbp6;Gbp10,2,E9Q342;Q05DL4;Q000W5;Q2V6D6;F7CE50;E9Q7U9,,NA,-0.351967481,-0.720366031,-0.218595202,-0.891496958,-0.257010618,-0.505179567,-0.880489627,-0.593975179,-0.778545026,-0.592827755,-0.74760223,-0.522055749,-0.36120689,-0.560225822,NA,-0.96547032,15,0.082548892,9.824788075,0.40826061,0.873164105,1447927_at,8.108601879,9.087506159,8.25888611,8.594114393,7.87451258,7.804098605,9.401189906,7.684780028,9.433696797,9.344490278,9.310992074,9.606881329,8.624061619,8.137414809,8.442837635,7.926955074,8.113777929,7.131935599,7.725952898,7.911841333,9.377970359,8.212268126,9.806902842,10.38286402,0.560816006,20.60065692,0.001371944,0.014490874
Cux1,1,P53564;P53564-3;E9QKN9;E9QKE9;P53564-2;P53564-4;E9QNW2;P70403;E9QAA4,Homeobox protein cut-like 1;Protein CASP,26.77,NA,0.188298814,0.169777133,0.077832605,0.300874843,0.289104322,0.383416458,0.355442254,0.284159332,0.384244728,0.34420856,0.14084145,0.103348392,-0.970411945,0.129765499,0.077223667,15,0.094568081,2.056115735,0.369498893,0.873164105,1424667_a_at,5.414964791,5.557039209,5.549407576,5.560723441,5.698210718,5.492131342,5.505879313,5.522444266,5.577536183,5.295217817,5.761579928,5.651959847,5.854767878,5.471203754,5.882472797,5.714635067,5.801100855,6.087936571,5.989118938,5.941743695,5.761796097,5.504560611,5.596702954,5.68937228,0.062560642,9.680756335,0.336337535,0.563895952
H2-D1,2,E9QQ06;P01899;E9PWT4;E9Q3M8;G3UXE9;E9Q0G4;A7VMS6;O19441;E9PX63;P01895;P01895-2;P01896;G3UXN9;G3UY84;E9PV42;G3UZP7;G3UX20,"H-2 class I histocompatibility antigen, D-B alpha chain",7.16,-0.275722256,-0.508327229,-0.066123642,-0.407515912,-0.326767425,-0.40053793,-0.37517848,-0.327457434,-0.444030911,NA,-0.16117825,-0.268075023,-0.366587995,-0.170309669,-0.328721595,-0.497637911,15,0.045673941,8.54343917,0.381444317,0.873164105,1426324_at,7.704207228,7.29532415,7.065499361,7.162367412,7.345917687,7.300052792,7.904219113,7.737347518,8.288390723,7.949185792,8.072600717,7.923695014,7.145377172,7.095883953,7.061717702,7.30953376,7.560623909,7.419225514,7.427538798,8.025330862,7.957242609,7.592761308,7.569148544,7.931089695,0.286682517,16.93095701,7.66E-06,0.000360246
Hmga1,2,P17095;P17095-1,High mobility group protein HMG-I/HMG-Y,89.36,-0.189666447,-0.370945413,-0.439676323,-0.263515224,-0.19761381,-0.299479128,-0.191309967,-0.604640696,-0.399663304,NA,-0.455018097,-0.715541987,-0.341985747,-0.221444053,-0.326422296,-0.376290383,15,0.054518366,16.41720934,0.410393273,0.873164105,1416184_s_at,7.119472994,7.347360693,7.401045278,7.498421806,7.427201856,7.603682657,7.709249982,7.0874598,6.910816084,7.012220131,7.213213459,7.488683875,7.365618968,7.6188143,7.81084057,7.845049971,7.769375781,7.894484886,7.606224941,7.565458606,7.215914717,7.117946931,7.278949287,7.445704864,0.189920005,6.998993499,0.000373804,0.005718767
Cyp17a1,1,P27786,"Steroid 17-alpha-hydroxylase/17,20 lyase",NA,-2.082668531,-3.324522612,-2.819075453,-2.902536711,-3.051963677,-1.787474257,-3.105594276,-3.035483152,-2.088989593,-2.716793402,-2.519390935,-2.898614688,-3.143377091,-2.818543833,-1.877783506,NA,15,0.210259212,20.52462378,0.416511716,0.873164105,1417017_at,6.488391388,6.585821614,6.187570101,6.401473209,6.919951028,6.071057894,5.76582374,6.434561608,7.281034508,6.604231807,7.594529517,6.263785565,6.292139364,6.248625154,6.044479031,6.452117779,6.554109647,6.653046126,7.542086061,7.339425692,6.317306411,6.580379011,5.955526312,6.444538503,0.206216138,15.03978335,0.237624596,0.464270555
Msr1,2,P30204;P30204-2;F6VKK0,Macrophage scavenger receptor types I and II,NA,-0.026162654,0.312401761,0.452372498,-0.010636636,-0.137634672,-0.056583528,-0.375400929,0.129339373,0.123732569,0.388393224,-0.027578727,NA,-0.100035721,0.63356867,-0.01649632,-0.362778454,15,0.093511149,5.502921757,0.386550678,0.873164105,1425435_at,4.070614783,3.826467316,3.958295852,4.105950245,4.074081931,4.124051057,4.135686473,4.444008197,4.469385506,4.494435279,4.431857595,4.351536121,4.031917544,3.878376589,3.987146737,4.001042558,3.861234469,3.908199042,4.453346948,4.441546351,4.278780648,4.054515077,4.338756671,3.992493616,0.168629665,16.324709,4.51E-05,0.001266875
Stom,2,P54116;E9PW33;Q99L68,Erythrocyte band 7 integral membrane protein,103.575,0.158236157,-1.441961466,-0.961326981,-0.177471364,0.249376346,-0.10017032,-0.058801354,-0.02672925,-0.134615244,0.045059265,-0.075601085,-0.032241931,-0.399006986,NA,-0.171334947,-0.342896037,15,0.107868205,16.13173724,0.412562996,0.873164105,1419097_a_at,8.342639132,8.262893723,8.183577363,8.211142549,8.059502773,8.061926894,8.116024295,7.775398867,7.798143817,7.80986016,7.945854757,8.307544474,7.999698581,8.331199255,8.269532052,8.344118684,8.079051356,7.787816117,8.053630744,7.851841185,7.850454714,7.854214896,7.992267185,7.933758861,0.151990362,3.409269394,1.17E-05,0.000483252
Chp;1500003O03Rik,2,P61022;B0R091;B0R092,Calcium-binding protein p22,75.035,0.155148389,-0.105812151,-0.018634174,-0.145873062,-0.51369286,-0.096261853,0.1067776,-0.21673422,0.031356244,NA,0.02905802,1.082682825,0.071360589,-0.446679711,-0.473838853,0.104666353,15,0.153326573,5.266214572,0.408725601,0.873164105,1420810_at,10.83206674,10.9008358,10.79980448,10.92384854,11.15580617,11.09815735,11.01765746,11.00198373,10.96900055,10.97201729,10.77195795,10.8678399,10.81479932,10.93113361,10.89389255,10.99830195,10.92576223,11.17010856,11.15491461,10.96226891,10.89472547,10.94475643,10.94369062,10.67080973,0.093596499,10.86024727,3.24E-05,0.000993522
Fam172a,2,Q3TNH5;E9QMA2;Q3TNH5-2;Q3TNH5-3,Protein FAM172A,NA,-0.020768865,0.025323856,-0.091259766,0.048098934,0.108378617,-0.068602027,0.114753647,0.297466565,0.003162967,NA,0.091279305,0.369091351,0.177343263,0.410447421,0.146994425,0.381817737,15,0.062513924,16.27165251,0.382083142,0.873164105,1454723_at,6.732929503,6.584461906,6.710300691,7.078127753,6.935156347,6.927976323,6.61085692,6.649035897,6.173336741,6.404250667,6.78586816,6.177129546,6.633900778,6.631319035,6.922547174,6.940634995,7.013597024,6.441425535,6.398999304,6.467038668,6.297622781,6.22062356,6.166367709,6.404468993,0.214083785,6.160911103,3.96E-05,0.001149246
2810408M09Rik,1,Q5U452,,110.42,0.143436527,-0.243669081,-0.356707253,-0.268554164,-0.123136427,-0.187641078,NA,-0.182946495,-0.186754085,-0.372506409,-0.172359498,-0.566084491,-0.239275826,-0.119820952,-0.244521774,-0.337768171,15,0.055635639,19.9672625,0.393388544,0.873164105,1419682_a_at,5.668548999,5.426161746,5.742361051,5.568826644,5.556236512,5.627763239,6.024163833,5.939516415,5.797848464,5.838855491,5.654309649,5.686821466,5.829356411,5.522697385,5.777140616,5.660200859,5.954549232,5.675943504,5.627042901,5.628769257,5.601723233,5.69022347,5.758064779,5.680596593,0.045233282,14.39723346,0.301472763,0.530334779
Polr2b,2,Q8CFI7,DNA-directed RNA polymerase II subunit RPB2,20.79,0.105643973,-0.051580921,0.157399234,0.064253628,0.925905646,0.178877594,0.196888715,0.231294811,0.220143571,NA,0.210345858,-0.183708817,0.043110692,0.108005405,0.51356364,0.43000347,15,0.101009581,17.05442406,0.388555893,0.873164105,1433552_a_at,10.35062362,10.24521012,10.37032181,10.19572345,10.3676357,10.43215698,10.62805752,10.75008984,10.57209732,10.55190305,10.61498712,10.22706001,10.3076578,10.20585502,10.07948354,10.21880243,10.38601429,10.68432564,10.59211055,10.61738344,10.5057364,10.66614399,10.6535589,10.49438156,0.153417244,15.30009242,8.03E-07,6.93E-05
Eif2b5,1,Q8CHW4;F6T9C3,Translation initiation factor eIF-2B subunit epsilon,87.32,0.185096893,0.227252864,0.003249721,0.121627775,0.070754376,0.282508912,0.058247627,-0.12498977,0.141557416,-0.073408955,0.148097079,NA,0.193288251,0.24173094,0.364143475,0.501095599,15,0.059962726,17.44616941,0.417361459,0.873164105,1445908_at,4.508876804,4.549820807,4.615505606,4.755133801,4.402574913,4.547566434,4.443567061,4.321291029,4.672769813,4.664281272,4.407705011,4.641393778,4.633903507,4.45580455,4.69055847,4.528019449,4.631850212,4.495466928,4.361487862,4.499779626,4.545188028,4.832919082,4.447248859,4.460027157,0.028030991,0.608801101,0.534344142,0.722449043
Tnpo2,2,Q99LG2;E9PV58,Transportin-2,52.24,NA,0.091417635,0.233226765,-0.09085343,-0.032947164,0.083584504,-0.062121712,-0.717999879,-0.499373945,0.124518728,0.296403127,0.036407506,0.049247927,-0.124857467,-0.084608575,0.397923252,15,0.087035514,8.057050197,0.355117286,0.873164105,1437283_at,7.00582966,6.849436118,6.671797008,7.097304035,7.009964046,7.033171662,6.727875709,6.670948691,6.682036983,6.626438062,6.909035161,7.045068185,7.066474714,7.092618125,7.086324061,7.180051469,7.070310239,6.848037812,6.826019342,6.806859044,6.627084052,6.426227617,6.606355061,6.522381765,0.146137077,5.110764079,0.000496488,0.006949748
Igf2bp3,1,Q9CPN8,Insulin-like growth factor 2 mRNA-binding protein 3,138.48,-3.160258694,-2.254200967,-4.259950357,-2.36650407,-5.146288637,-1.983896545,-2.345140858,-1.46320392,-2.723187192,-2.459903696,-3.641430424,-2.834428069,-2.579952469,-3.026552213,-3.573253327,NA,15,0.307709709,21.18523418,0.385792064,0.873164105,1422610_s_at,3.570040933,3.837159544,3.53416335,3.674933181,3.601253011,3.543530404,3.523061347,3.549831452,3.490765433,3.499558744,3.300570653,3.594291586,3.66260163,3.701743882,3.648235474,3.653478279,3.534076914,3.521202881,3.442813711,3.607347704,3.696959104,3.597153544,3.646717343,3.660701106,0.048356911,2.408255672,0.073158959,0.228294625
Pomp,2,Q9CQT5,Proteasome maturation protein,4.14,-0.652142272,-0.608620024,0.318092024,-0.127765328,-0.458382004,-0.389787054,-0.177981556,NA,-0.000144262,-0.362778454,-0.21971064,-0.070664101,-0.176705738,-0.086240276,-0.210638228,-0.572113556,15,0.098592457,9.545626434,0.372909202,0.873164105,1416979_at,11.65505546,11.67139138,11.56831033,11.5643582,11.54577609,11.52831606,11.61416199,11.70574942,11.76608176,11.66313951,11.64507854,11.65056633,11.45692673,11.51094412,11.44933386,11.44785064,11.60211274,11.46435687,11.67204445,11.72585323,11.86635218,11.69612396,11.68048443,11.79773916,0.081146974,17.41459464,0.000183333,0.003428767
Mrpl30,2,Q9D7N6,"39S ribosomal protein L30, mitochondrial",60.69,NA,0.012941135,0.144329166,0.167555518,0.336919576,0.166146486,0.563987449,0.137330411,0.161378952,0.026396071,0.248810533,0.132830996,0.090741482,0.128424418,0.172652468,-0.045163352,15,0.056140477,14.47653651,0.369671938,0.873164105,1447651_x_at,7.304061142,7.34138751,7.420851637,6.972670245,7.065286357,7.059539351,7.2888465,7.268036979,7.480579793,7.42882505,7.307642925,7.435748693,7.056418746,7.379969878,7.135013544,7.111025204,7.074000863,7.063591706,7.217066657,7.099781354,7.382849486,7.576376335,7.63788333,7.557298383,0.141920733,19.89889972,8.42E-05,0.001974602
Pak1ip1,1,Q9DCE5,p21-activated protein kinase-interacting protein 1,28.17,-0.021763974,0.343219924,0.303828087,0.182720575,NA,0.228536942,-0.130799111,0.423990696,0.291362475,-0.155360663,0.004725343,-0.309525466,-0.54260475,0.005232032,0.246977451,-0.111298453,15,0.096445681,23.52225823,0.365100332,0.873164105,1430875_a_at,7.98963509,8.122610098,8.276400867,8.387668111,8.301097272,8.342802484,8.453350315,8.296011311,8.253399751,8.358336837,8.512422143,8.345360126,8.154843733,8.251818814,8.072322517,8.33527808,8.364171376,8.142891865,8.311404382,8.373470102,8.380097428,8.366244603,8.298774596,8.056690334,0.06238159,13.68449683,0.035115721,0.141206178
Scyl1,2,Q9EQC5,N-terminal kinase-like protein,47.94,0.741372538,0.636212159,0.364254894,0.436627068,0.589159629,0.511135414,0.76667637,0.597190522,0.426896974,0.78418475,0.688310892,0.02385636,NA,0.037310323,1.055771231,0.315324866,15,0.101247628,22.49193165,0.363082405,0.873164105,1430354_x_at,7.36745674,7.481676995,7.578898862,7.62377096,7.678792043,7.775934558,7.496434356,7.598264144,7.355060118,7.317680295,7.330027592,7.530006489,7.334959382,7.568393578,7.650096942,7.556638407,7.604918322,7.57364594,7.61706402,7.636226497,7.173324889,7.56039968,7.492259467,7.563887201,0.085446564,7.772083751,0.003551323,0.02847435
Acot2,1,Q9QYR9,"Acyl-coenzyme A thioesterase 2, mitochondrial",NA,-1.192131026,-0.69777382,-1.0590091,-0.79759409,NA,-1.313361959,-0.880724702,-1.317535622,-0.836085712,-0.933270472,-0.827087332,-0.462157048,-0.978927776,-1.077789889,-0.992115808,-0.628166999,15,0.085997245,6.27871329,0.358406841,0.873164105,1422996_at,4.478661184,4.172114642,4.426429401,4.626001829,4.740664706,4.728029292,4.536631221,4.553404306,4.363300716,4.14448161,4.529634033,4.639378609,4.492259305,4.584493677,4.575295663,4.60433751,4.524959745,4.670350511,4.804658964,4.650409394,4.463592909,4.678633319,4.541020874,4.488604681,0.068211095,9.831174971,0.087986904,0.256774562
Fbxo6,2,Q9QZN4;A2A7H1;A2A7G9,F-box only protein 6,64.56,-0.020057652,0.249324899,-0.083383588,0.1067776,0.269129666,-0.136716384,-0.073683154,0.025617534,0.149456581,NA,0.097362963,0.209227962,0.06030702,0.159460227,0.220362055,-0.271903706,15,0.050466417,8.601221551,0.41429931,0.873164105,1417501_at,9.546557118,9.196828895,9.215586892,9.218002937,8.688629455,8.586223231,8.717278519,8.493719078,8.581711492,8.681185003,9.221273352,9.129077257,9.203410879,9.209236614,9.065786768,9.048233667,8.803571558,8.658504426,8.520744178,8.456374314,8.704290173,8.843923314,8.956665806,9.291009008,0.273609009,0.929351334,6.25E-10,5.41E-07
Nubp2,2,Q9R061,Cytosolic Fe-S cluster assembly factor NUBP2,44.42,0.049800366,-0.279887255,0.292369197,-0.240253262,0.629634817,-0.286762889,0.086078518,-0.481712262,-0.280006078,NA,-0.2174789,-0.087327052,0.070163564,-0.173767068,-0.180911663,-0.079429315,15,0.109803638,10.76195783,0.38567807,0.873164105,1416512_at,8.859199795,8.813078441,8.705140368,8.749515478,8.768317297,8.738962317,8.779949419,8.770689299,8.733048039,8.781885587,8.951688821,8.886164259,8.861209721,8.865389138,8.844271898,8.900947185,8.679616769,8.753841214,8.870952351,8.837144601,9.010121649,9.072468157,8.95056961,8.947850965,0.061924097,20.11437583,0.003760156,0.029637681
Sorbs3,1,Q9R1Z8,Vinexin,12.6,0.046772016,0.138552744,-0.287117636,0.248399171,0.330301948,0.011617061,-0.01834931,0.135982283,-0.178619043,-0.083519749,0.157254431,-0.067225673,0.184506545,NA,-0.061845307,0.077497657,15,0.061240735,12.69878457,0.398842767,0.873164105,1419329_at,7.045302124,7.010240454,7.298036594,7.349224905,7.342776701,7.367560411,7.308361479,6.937761874,7.081481801,7.105531767,7.15607608,7.700536533,7.511472779,7.700321213,7.886247866,8.064371488,7.499234458,7.807706176,7.48264035,7.472556739,7.357562991,7.538323172,7.420470741,7.362513451,0.116736789,5.653296577,0.168275103,0.380557654
Nmral1,1,Q8K2T1;D3YU12;G5E8S7;Q8K2T1-2;Q8K2T1-3,NmrA-like family domain-containing protein 1,118.8,0.092232512,0.128109051,0.038821216,0.080225172,-0.137765808,0.051578566,-0.046560906,-0.00028851,-0.057970069,-0.059355278,-0.008343459,0.016395263,-0.051441711,0.194988268,-0.216237552,-0.08120326,16,0.023830844,6.365990318,0.628742563,0.874667153,1453563_at,4.376178935,4.622308349,4.824179779,4.495994235,4.356578575,4.566203017,4.242068029,4.40304134,4.682158667,4.525271031,4.408549545,4.391731591,4.365544171,4.520651026,4.277992462,4.405353173,4.343268473,4.335239794,4.639965955,4.575730135,4.439598488,4.862141432,4.699194129,4.600945301,0.050286064,19.23645974,0.334159464,0.561740132
Bola2,2,Q8BGS2;Q8BGS2-2,BolA-like protein 2,66.49,0.288769428,0.437818644,0.613608406,0.328326187,0.761702272,0.31130936,0.633770121,0.409929793,0.584003427,0.439598071,0.608826194,0.337885669,0.02791028,0.280474823,0.363827833,0.087212195,16,0.046464001,4.875985227,0.629081185,0.874667153,1434545_x_at,9.157413134,9.123979341,9.079701289,9.027568378,8.941434348,8.966994446,8.865144874,9.087270855,9.245134178,9.260849335,9.210956951,9.115769372,9.076081207,8.906896662,8.856221909,8.85075266,8.860820029,8.967728473,8.87128804,9.028887917,9.166192192,9.350604946,9.308260242,9.294072739,0.13160139,19.6688218,1.04E-06,8.31E-05
Dcxr,1,Q91X52;A2AC16,L-xylulose reductase,47.21,0.019433562,-0.149909668,0.119996317,-0.05630606,0.03889532,-0.072586047,0.042813431,-0.095586908,0.206378745,-0.01235413,0.02745438,-0.15704371,0.149056595,-0.056028539,0.022947262,0.248861961,16,0.030695193,21.57473542,0.629207201,0.874667153,1419456_at,11.14255549,10.94252974,11.16615863,11.29450749,11.18189921,11.30433514,11.0322752,11.10825989,11.01149677,10.98541999,11.16311591,11.29938102,11.27963469,11.16942524,11.35514372,11.44914776,11.40573185,11.53281082,10.81503073,11.18432798,10.87251794,11.26179163,11.14424813,11.23003607,0.081015219,5.086025909,0.06912381,0.22050906
Gpn1,2,Q8VCE2;D3Z3X7;D6RCY0,GPN-loop GTPase 1,28.41,0.501851274,0.081384785,0.123025393,NA,0.142146366,NA,-0.212507085,NA,0.420221267,NA,NA,NA,NA,NA,NA,NA,6,0.137719652,1.871292869,0.525096619,0.875554971,1442114_at,5.331168932,5.338177065,5.221156521,4.749744304,4.962186499,4.973069676,4.932403393,5.272799792,5.191576148,5.512414881,5.212811486,5.489028909,5.63482429,5.500179138,5.218627053,5.235960352,4.815100546,5.179685211,4.900156113,5.043151517,5.203604307,5.576619277,5.43683925,5.351914119,0.184622207,21.61445375,1.70E-05,0.000627472
Taf4a,1,E9QAP7;F6W8W7;E9Q2V4,,361.06,NA,NA,0.881108748,NA,NA,NA,NA,NA,-0.325501549,NA,NA,NA,NA,0.412442983,0.462952481,NA,4,0.397632458,10.23305517,0.525180281,0.875554971,1452438_s_at,6.677185432,6.593705169,6.75886319,7.043353354,6.99296828,7.021971311,6.500993514,6.618603733,6.518954183,6.59435549,6.952126424,6.257747819,6.720229131,6.978604745,6.907134472,7.114516045,7.425264522,6.462533237,6.700689,6.615913484,6.683814528,6.497656682,6.878747326,6.583920557,0.151469957,6.201962374,0.016488878,0.08467496
Anxa6,1,P14824;F8WIT2,Annexin A6;Annexin,121.32,-0.096801582,-0.089769309,-0.178746506,-0.067087965,-0.136585153,-0.214870834,-0.159758338,-0.164013889,-0.190425227,-0.14912927,-0.131721171,-0.070664101,-0.103799743,-0.135928816,-0.166072676,-0.038576651,16,0.012064632,6.368034142,0.630329684,0.87579007,1442288_at,5.260436259,5.6188472,5.62082425,5.324949142,5.23404504,5.699587538,5.281649154,5.767605919,5.669585477,5.73879825,5.637574573,5.694555126,5.645318106,5.394358589,5.747461852,5.558544162,5.37036216,5.784780498,5.525690675,5.947654303,5.438703131,5.615459273,5.495027784,5.85109527,0.0611099,17.78045381,0.284288717,0.513093978
Mrpl35,2,Q9CQL6,"39S ribosomal protein L35, mitochondrial",NA,-0.268554164,-0.244278199,NA,NA,-0.392427338,NA,0.134714606,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.227890338,19.32539324,0.525863853,0.875866918,1440989_at,5.192555445,5.124505627,5.264601998,5.140064567,5.196247664,4.746554748,4.742431167,4.976868627,5.175902796,5.378386979,5.439498563,5.185944679,4.928863184,5.347319705,4.937577414,4.919349647,5.026356623,4.580397002,5.247739594,5.183977893,5.294251178,5.320971971,5.438198643,5.646261973,0.158333354,20.86532265,0.001817745,0.017754569
Atad2b,1,E9Q166,,NA,0.18020104,-0.21350282,NA,-0.341985747,0.888808397,-0.085152681,NA,-0.535455799,-0.612682759,0.021628621,NA,0.12106283,-0.289598422,NA,0.292015881,NA,11,0.154454555,12.61755646,0.542580455,0.875879877,1428982_at,8.632661773,8.705873671,8.525917513,8.821877247,8.786508529,8.766761086,8.493972437,8.553949993,8.760136727,8.79176846,8.635819628,8.630316281,8.644581396,8.5079873,8.691484724,8.716886924,8.756411814,8.42374652,8.292748999,8.415060181,8.502838948,8.382056756,8.634485425,8.726363272,0.049569505,2.743970905,0.201994523,0.424358023
Arcn1,2,Q5XJY5,Coatomer subunit delta,59.57,-0.06502077,-0.02034218,-0.130271955,-0.104470858,-0.146264195,0.009872885,-0.069014678,-0.1212807,-0.110764122,-0.12631213,-0.170309669,-0.053667449,-0.059078342,-0.089091319,-0.102859658,-0.139338514,16,0.011987037,15.26144855,0.630898765,0.876143345,1436062_at,8.428956804,8.548450848,8.59618466,8.510750511,8.701092427,8.719540538,8.610487124,8.705925288,8.316952836,8.406587898,8.46321591,8.405202385,8.44874459,8.640842731,8.483272474,8.649118634,8.633605556,8.725731136,8.693049486,8.654549272,8.554892545,8.467099383,8.40908966,8.256489269,0.103855315,9.309737835,1.26E-05,0.000505498
Got1,1,P05201;F7ALS6,"Aspartate aminotransferase, cytoplasmic",722.19,-0.141301988,-0.321697245,-0.255440305,-0.12154595,-0.134352387,-0.309409049,-0.254594043,-0.270588742,0.002425766,0.022756717,-0.027154052,-0.214746523,-0.171078696,-0.100035721,-0.138683428,-0.043624477,16,0.029037095,2.242670332,0.631484546,0.876519447,1450970_at,11.32584987,11.35954308,11.47582723,11.62380756,11.14551324,11.66394111,11.57104442,12.10934345,11.29873443,10.83380079,11.63113575,11.42744778,11.76840474,11.42643754,11.25684874,11.41666288,11.78925714,12.29732204,11.61777156,12.06586458,10.79116907,10.14639963,10.66543894,10.47882866,0.244312896,8.752119133,0.023782678,0.108928511
Ermp1,1,Q3UVK0;Q3UVK0-2;G8JL46;F6TQS9,Endoplasmic reticulum metallopeptidase 1,7.18,-0.251204023,NA,NA,0.247439785,NA,NA,0.224721849,0.320720343,NA,NA,0.191870353,NA,NA,NA,NA,NA,5,0.167677648,13.59581625,0.526685711,0.876599185,1460599_at,6.056217356,5.719757214,5.814195272,5.864661056,6.135518671,6.149210575,6.01783236,5.871209646,6.105455283,6.000370218,5.482048007,5.616537119,5.59013333,5.641006987,5.792685883,5.903336406,5.977812175,5.820081985,5.736465955,6.068040349,5.932684403,5.67954286,5.968369241,5.646428914,0.101256292,11.24791377,0.015182013,0.079656118
